Wavelength,1 blue,2 green,3 red,4 NIR,5 SWIR,7 SWIR,8 PAN
910,,,,0.011,,,0.044
911,,,,0.0107,,,0.038
912,,,,0.008,,,0.032
913,,,,0.0061,,,0.0275
914,,,,0.0052,,,0.023
915,,,,,,,0.0195
916,,,,,,,0.016
917,,,,,,,0.014
918,,,,,,,0.012
919,,,,,,,0.01
920,,,,,,,0.008
921,,,,,,,0.007
922,,,,,,,0.006
923,,,,,,,0.005
924,,,,,,,0.004
925,,,,,,,0.0035
926,,,,,,,0.003
927,,,,,,,0.0025
928,,,,,,,0.002
929,,,,,,,0.002
930,,,,,,,0.002
931,,,,,,,0.0015
932,,,,,,,0.001
1514,,,,,0.006,,
1515,,,,,0.012,,
1517,,,,,0.003,,
1519,,,,,0.015,,
1521,,,,,0.012,,
1523,,,,,0.024,,
1525,,,,,0.04,,
1526,,,,,0.041,,
1528,,,,,0.057,,
1530,,,,,0.076,,
1532,,,,,0.097,,
1534,,,,,0.12,,
1536,,,,,0.176,,
1538,,,,,0.215,,
1540,,,,,0.274,,
1542,,,,,0.339,,
1543,,,,,0.393,,
1545,,,,,0.462,,
1547,,,,,0.499,,
1549,,,,,0.558,,
1551,,,,,0.598,,
1553,,,,,0.634,,
1555,,,,,0.667,,
1557,,,,,0.704,,
1559,,,,,0.724,,
1561,,,,,0.75,,
1563,,,,,0.778,,
1565,,,,,0.808,,
1567,,,,,0.825,,
1569,,,,,0.851,,
1571,,,,,0.867,,
1572,,,,,0.872,,
1574,,,,,0.884,,
1576,,,,,0.902,,
1578,,,,,0.901,,
1580,,,,,0.896,,
1582,,,,,0.897,,
1584,,,,,0.89,,
1586,,,,,0.899,,
1588,,,,,0.884,,
1590,,,,,0.876,,
1592,,,,,0.867,,
1594,,,,,0.873,,
1596,,,,,0.872,,
1598,,,,,0.879,,
1600,,,,,0.874,,
1602,,,,,0.861,,
1604,,,,,0.859,,
1606,,,,,0.877,,
1608,,,,,0.879,,
1610,,,,,0.899,,
1613,,,,,0.893,,
1615,,,,,0.9,,
1617,,,,,0.897,,
1619,,,,,0.917,,
1621,,,,,0.921,,
1623,,,,,0.926,,
1625,,,,,0.929,,
1627,,,,,0.945,,
1629,,,,,0.947,,
1631,,,,,0.948,,
1633,,,,,0.955,,
1635,,,,,0.952,,
1637,,,,,0.969,,
1639,,,,,0.96,,
1641,,,,,0.962,,
1643,,,,,0.959,,
1645,,,,,0.978,,
1647,,,,,0.96,,
1649,,,,,0.955,,
1651,,,,,0.952,,
1653,,,,,0.951,,
1656,,,,,0.952,,
1658,,,,,0.956,,
1660,,,,,0.944,,
1662,,,,,0.935,,
1664,,,,,0.933,,
1666,,,,,0.928,,
1668,,,,,0.942,,
1670,,,,,0.948,,
1672,,,,,0.942,,
1674,,,,,0.933,,
1676,,,,,0.944,,
1678,,,,,0.948,,
1680,,,,,0.945,,
1682,,,,,0.943,,
1684,,,,,0.951,,
1687,,,,,0.964,,
1689,,,,,0.967,,
1691,,,,,0.971,,
1693,,,,,0.974,,
1695,,,,,0.991,,
1697,,,,,0.995,,
1699,,,,,0.999,,
1701,,,,,0.996,,
1703,,,,,0.994,,
1705,,,,,1,,
1707,,,,,0.994,,
1709,,,,,0.983,,
1711,,,,,0.99,,
1714,,,,,0.987,,
1716,,,,,0.992,,
1718,,,,,0.986,,
1720,,,,,0.981,,
1722,,,,,0.983,,
1724,,,,,0.976,,
1725,,,,,0.978,,
1726,,,,,0.97,,
1728,,,,,0.968,,
1730,,,,,0.96,,
1732,,,,,0.944,,
1734,,,,,0.921,,
1736,,,,,0.883,,
1738,,,,,0.845,,
1740,,,,,0.791,,
1742,,,,,0.711,,
1744,,,,,0.638,,
1747,,,,,0.547,,
1749,,,,,0.462,,
1751,,,,,0.393,,
1753,,,,,0.325,,
1755,,,,,0.267,,
1757,,,,,0.212,,
1759,,,,,0.175,,
1761,,,,,0.142,,
1763,,,,,0.111,,
1765,,,,,0.084,,
1767,,,,,0.077,,
1769,,,,,0.058,,
1771,,,,,0.049,,
1773,,,,,0.042,,
1775,,,,,0.039,,
1777,,,,,0.034,,
1779,,,,,0.02,,
1781,,,,,0.021,,
1783,,,,,0.022,,
1785,,,,,0.011,,
1787,,,,,0.012,,
1789,,,,,0.004,,
1791,,,,,0.008,,
2001,,,,,,0.003,
2003,,,,,,0.002,
2005,,,,,,0.003,
2007,,,,,,0.001,
2009,,,,,,0,
2011,,,,,,0.004,
2013,,,,,,0.004,
2015,,,,,,0.002,
2017,,,,,,0.002,
2018,,,,,,0.002,
2020,,,,,,0.012,
2022,,,,,,0.009,
2024,,,,,,0.007,
2026,,,,,,0.011,
2028,,,,,,0.02,
2030,,,,,,0.017,
2032,,,,,,0.03,
2034,,,,,,0.035,
2035,,,,,,0.037,
2037,,,,,,0.044,
2039,,,,,,0.051,
2041,,,,,,0.065,
2043,,,,,,0.08,
2045,,,,,,0.088,
2047,,,,,,0.102,
2049,,,,,,0.133,
2051,,,,,,0.165,
2052,,,,,,0.188,
2054,,,,,,0.22,
2056,,,,,,0.264,
2058,,,,,,0.316,
2060,,,,,,0.367,
2062,,,,,,0.421,
2064,,,,,,0.484,
2066,,,,,,0.554,
2067,,,,,,0.59,
2069,,,,,,0.67,
2071,,,,,,0.683,
2073,,,,,,0.73,
2075,,,,,,0.756,
2077,,,,,,0.767,
2079,,,,,,0.794,
2081,,,,,,0.774,
2083,,,,,,0.776,
2085,,,,,,0.789,
2086,,,,,,0.775,
2088,,,,,,0.784,
2090,,,,,,0.778,
2092,,,,,,0.768,
2094,,,,,,0.762,
2096,,,,,,0.761,
2099,,,,,,0.775,
2100,,,,,,0.775,
2102,,,,,,0.764,
2104,,,,,,0.784,
2106,,,,,,0.792,
2108,,,,,,0.814,
2110,,,,,,0.794,
2112,,,,,,0.825,
2114,,,,,,0.817,
2116,,,,,,0.806,
2117,,,,,,0.819,
2119,,,,,,0.821,
2121,,,,,,0.852,
2123,,,,,,0.832,
2125,,,,,,0.836,
2127,,,,,,0.85,
2129,,,,,,0.855,
2131,,,,,,0.862,
2133,,,,,,0.853,
2135,,,,,,0.871,
2136,,,,,,0.848,
2138,,,,,,0.882,
2140,,,,,,0.875,
2142,,,,,,0.86,
2144,,,,,,0.856,
2146,,,,,,0.887,
2148,,,,,,0.85,
2150,,,,,,0.872,
2151,,,,,,0.879,
2153,,,,,,0.857,
2155,,,,,,0.865,
2157,,,,,,0.867,
2159,,,,,,0.871,
2161,,,,,,0.882,
2163,,,,,,0.87,
2165,,,,,,0.869,
2166,,,,,,0.873,
2168,,,,,,0.877,
2170,,,,,,0.868,
2172,,,,,,0.88,
2174,,,,,,0.877,
2176,,,,,,0.87,
2178,,,,,,0.878,
2180,,,,,,0.88,
2182,,,,,,0.868,
2183,,,,,,0.881,
2185,,,,,,0.87,
2187,,,,,,0.856,
2189,,,,,,0.863,
2191,,,,,,0.863,
2193,,,,,,0.857,
2195,,,,,,0.844,
2197,,,,,,0.859,
2199,,,,,,0.857,
2201,,,,,,0.852,
2203,,,,,,0.866,
2205,,,,,,0.868,
2207,,,,,,0.856,
2209,,,,,,0.856,
2210,,,,,,0.847,
2212,,,,,,0.861,
2214,,,,,,0.862,
2216,,,,,,0.84,
2218,,,,,,0.856,
2220,,,,,,0.838,
2222,,,,,,0.856,
2223,,,,,,0.837,
2226,,,,,,0.842,
2227,,,,,,0.826,
2229,,,,,,0.844,
2231,,,,,,0.827,
2233,,,,,,0.842,
2235,,,,,,0.822,
2237,,,,,,0.843,
2239,,,,,,0.823,
2241,,,,,,0.854,
2242,,,,,,0.839,
2244,,,,,,0.853,
2246,,,,,,0.854,
2248,,,,,,0.865,
2250,,,,,,0.873,
2252,,,,,,0.869,
2254,,,,,,0.865,
2256,,,,,,0.893,
2258,,,,,,0.89,
2259,,,,,,0.89,
2261,,,,,,0.906,
2263,,,,,,0.924,
2265,,,,,,0.92,
2267,,,,,,0.922,
