nm_Band,Panchromatic,Coastal Blue,Blue,Green,Yellow,Red,Red Edge,NIR1,NIR2
463,0.49696981,0.0010581279,0.80321533,4.9316164E-06,5.6353487E-07,2.6027177E-06,1.5467008E-07,3.7142658E-07,1.216613E-07
464,0.50121865,0.00050403809,0.80617695,5.9499015E-06,4.0849284E-07,9.1283184E-07,1.5682487E-07,3.4521768E-07,2.4424532E-07
465,0.50499219,0.00036089963,0.80985937,8.51169E-06,5.0929942E-07,7.9577217E-07,1.6329875E-07,5.2192075E-07,4.1350531E-07
466,0.50798146,0.00021740487,0.81354518,1.1070176E-05,6.0948462E-07,6.8472992E-07,1.6900136E-07,6.9905475E-07,5.8466259E-07
467,0.51252991,0.00016959987,0.81855486,1.2171667E-05,5.3470594E-07,6.4566463E-07,1.2393706E-07,6.4295615E-07,3.0103034E-07
468,0.51790002,0.00012118411,0.82358504,1.3378488E-05,4.5927364E-07,6.0624788E-07,7.8167159E-08,5.863606E-07,1.4531954E-08
469,0.52174041,9.6270561E-05,0.82481692,1.3705324E-05,4.4654443E-07,8.9355648E-07,1.1368212E-07,4.8124577E-07,1.1495881E-08
470,0.52559558,7.1216848E-05,0.82604517,1.4130593E-05,4.3286053E-07,1.1760557E-06,1.4907483E-07,3.7553859E-07,8.45778E-09
471,0.52700397,5.8623617E-05,0.82754809,1.4437581E-05,5.5730248E-07,2.0264306E-06,3.2562933E-07,3.7509332E-07,4.294035E-09
472,0.52841203,4.6177238E-05,0.82904884,1.4842186E-05,6.8202721E-07,2.8707311E-06,5.0258819E-07,3.7376503E-07,1.11773E-10
473,0.53076677,2.9873415E-05,0.83280034,1.7026133E-05,6.7431818E-07,1.9301552E-06,5.9301389E-07,3.8632727E-07,1.8910392E-06
474,0.53312805,1.3615346E-05,0.83656242,1.922266E-05,6.6566946E-07,9.9209987E-07,6.8476575E-07,3.9984251E-07,3.7931481E-06
475,0.53558258,1.1541162E-05,0.84226233,1.9771336E-05,7.0590347E-07,9.5470606E-07,7.8442724E-07,7.3648858E-07,3.6830919E-06
476,0.53316776,9.4361661E-06,0.84798489,2.0323104E-05,7.4548464E-07,9.2518287E-07,8.814575E-07,1.0769818E-06,3.5723014E-06
